 4 , 30,350 ,215 ,3.8 ,2.699
 4 ,350,80 ,189 ,3.7 ,2.697
 4 ,350,90 ,203 ,3.7 ,2.697
 4 ,350,100 ,170 ,3.7 ,2.697
 4 , 40,130 ,185 ,3.7 ,2.697
 4 , 50,190 ,213 ,1.0 ,2.689
 4 ,190,200 , 1 ,1.0 ,2.656
 4 ,190,210 ,220 ,1.0 ,2.681
 4 ,210,220 ,192 ,1.0 ,2.675
 4 ,210,230 ,207 ,1.0 ,2.674
 4 ,230,240 ,181 ,1.0 ,2.668
 4 ,230,250 ,210 ,1.0 ,2.667
 4 , 20,330 ,199 ,3.8 ,2.701
 4 ,330,110 ,218 ,3.8 ,2.699
 4 ,330,120 ,191 ,3.8 ,2.699
 4 , 50,340 ,188 ,1.0 ,2.689
 4 ,340,140 ,188 ,1.0 ,2.682
 4 ,340,150 ,229 ,1.0 ,2.685
 4 ,340,160 ,194 ,1.0 ,2.682
 4 ,160,170 , 1 ,1.0 ,3.182
 4 ,160,180 ,213 ,1.0 ,2.674
 4 , 60,260 ,199 ,1.0 ,2.682
 4 ,280,290 ,194 ,1.0 ,2.658
 4 ,300,310 ,207 ,1.0 ,2.668
 5 , 10,20 ,182 ,4.3 ,2.711
 5 , 20,30 ,208 ,4.2 ,2.709
 5 , 30,40 ,205 ,4.2 ,2.709
 5 , 40,50 ,214 ,4.0 ,2.706
 5 , 50,60 ,206 ,1.0 ,2.698
 5 , 60,70 ,218 ,1.0 ,2.690
 5 , 70,270 ,169 ,1.0 ,2.685
 5 ,270,280 ,194 ,1.0 ,2.679
 5 ,280,300 ,194 ,1.0 ,2.673
 5 ,300,320 ,198 ,1.0 ,2.666
 5 , 30,350 ,215 ,4.1 ,2.708
 5 ,350,80 ,189 ,4.0 ,2.706
 5 ,350,90 ,203 ,4.0 ,2.706
 5 ,350,100 ,170 ,4.0 ,2.707
 5 , 40,130 ,185 ,4.0 ,2.707
 5 , 50,190 ,213 ,1.0 ,2.697
 5 ,190,200 , 1 ,1.0 ,2.665
 5 ,190,210 ,220 ,1.0 ,2.689
 5 ,210,220 ,192 ,1.0 ,2.682
 5 ,210,230 ,207 ,1.0 ,2.682
 5 ,230,240 ,181 ,1.0 ,2.675
 5 ,230,250 ,210 ,1.0 ,2.674
 5 , 20,330 ,199 ,4.2 ,2.709
 5 ,330,110 ,218 ,4.1 ,2.708
 5 ,330,120 ,191 ,4.1 ,2.708
 5 , 50,340 ,188 ,1.0 ,2.697
 5 ,340,140 ,188 ,1.0 ,2.689
 5 ,340,150 ,229 ,1.0 ,2.693
 5 ,340,160 ,194 ,1.0 ,2.689
 5 ,160,170 , 1 ,1.0 ,3.182
 5 ,160,180 ,213 ,1.0 ,2.681
 5 , 60,260 ,199 ,1.0 ,2.690
 5 ,280,290 ,194 ,1.0 ,2.665
 5 ,300,310 ,207 ,1.0 ,2.675
 6 , 10,20 ,182 ,2.9 ,2.729
 6 , 20,30 ,208 ,2.8 ,2.726
